review,sentiment,total_words,total_chars,sequence,padded
food good typical bar food,1,5,26,"[9, 1, 1516, 227, 9]","[   9    1 1516  227    9    0    0    0    0    0    0    0    0    0
    0    0]"
drive get there,0,3,15,"[491, 25, 115]",[491  25 115   0   0   0   0   0   0   0   0   0   0   0   0   0]
first glance lovely bakery cafe nice ambiance clean friendly staff,1,10,66,"[42, 1035, 843, 1016, 904, 32, 535, 401, 77, 172]","[  42 1035  843 1016  904   32  535  401   77  172    0    0    0    0
    0    0]"
anyway think go back there,0,5,26,"[853, 45, 21, 22, 115]",[853  45  21  22 115   0   0   0   0   0   0   0   0   0   0   0]
point finger item menu order disappointed,1,6,41,"[496, 1730, 146, 197, 170, 71]","[ 496 1730  146  197  170   71    0    0    0    0    0    0    0    0
    0    0]"
oh thing beauty restaurant,1,4,26,"[371, 31, 3943, 83]","[ 371   31 3943   83    0    0    0    0    0    0    0    0    0    0
    0    0]"
gone go now,1,3,11,"[767, 21, 489]",[767  21 489   0   0   0   0   0   0   0   0   0   0   0   0   0]
greasy unhealthy meal,0,3,21,"[3944, 3945, 232]","[3944 3945  232    0    0    0    0    0    0    0    0    0    0    0
    0    0]"
first time might last,0,4,21,"[42, 8, 562, 122]",[ 42   8 562 122   0   0   0   0   0   0   0   0   0   0   0   0]
burger amazing,1,2,14,"[198, 62]",[198  62   0   0   0   0   0   0   0   0   0   0   0   0   0   0]
similarly delivery man say word apology food minute late,0,9,56,"[3946, 1699, 356, 55, 322, 3947, 9, 54, 1083]","[3946 1699  356   55  322 3947    9   54 1083    0    0    0    0    0
    0    0]"
way expensive,0,2,13,"[43, 887]",[ 43 887   0   0   0   0   0   0   0   0   0   0   0   0   0   0]
sure order dessert even need pack to go tiramisu cannoli die for,1,12,64,"[188, 170, 445, 19, 192, 1729, 375, 21, 3948, 3949, 1801, 495]","[ 188  170  445   19  192 1729  375   21 3948 3949 1801  495    0    0
    0    0]"
first time can t wait next,1,6,26,"[42, 8, 106, 74, 231, 209]",[ 42   8 106  74 231 209   0   0   0   0   0   0   0   0   0   0]
bartender also nice,1,3,19,"[1211, 23, 32]","[1211   23   32    0    0    0    0    0    0    0    0    0    0    0
    0    0]"
everything good tasty,1,3,21,"[60, 1, 319]",[ 60   1 319   0   0   0   0   0   0   0   0   0   0   0   0   0]
place two thumb up way up,1,6,25,"[10, 59, 709, 181, 43, 181]",[ 10  59 709 181  43 181   0   0   0   0   0   0   0   0   0   0]
best place vega breakfast just check sat sun,1,8,44,"[18, 10, 126, 353, 3950, 376, 550, 3951]","[  18   10  126  353 3950  376  550 3951    0    0    0    0    0    0
    0    0]"
love authentic mexican food want whole bunch interesting yet delicious meat choose from need try place,1,16,102,"[26, 523, 785, 9, 94, 308, 966, 241, 377, 127, 352, 1881, 1882, 192, 194, 10]","[  26  523  785    9   94  308  966  241  377  127  352 1881 1882  192
  194   10]"
terrible management,0,2,19,"[72, 525]",[ 72 525   0   0   0   0   0   0   0   0   0   0   0   0   0   0]
excellent new restaurant experienced frenchman,1,5,46,"[34, 86, 83, 1142, 3952]","[  34   86   83 1142 3952    0    0    0    0    0    0    0    0    0
    0    0]"
zero star would give zero star,0,6,30,"[602, 81, 17, 107, 602, 81]",[602  81  17 107 602  81   0   0   0   0   0   0   0   0   0   0]
great steak great side great wine amazing dessert,1,8,49,"[3, 174, 3, 196, 3, 716, 62, 445]",[  3 174   3 196   3 716  62 445   0   0   0   0   0   0   0   0]
worst martini ever,0,3,18,"[51, 3953, 20]","[  51 3953   20    0    0    0    0    0    0    0    0    0    0    0
    0    0]"
steak shrimp opinion best entree gc,1,6,35,"[174, 608, 1577, 18, 1883, 3954]","[ 174  608 1577   18 1883 3954    0    0    0    0    0    0    0    0
    0    0]"
opportunity today sample amazing pizza,1,5,38,"[1795, 360, 3955, 62, 187]","[1795  360 3955   62  187    0    0    0    0    0    0    0    0    0
    0    0]"
waited thirty minute seated although vacant table folk waiting,0,9,62,"[354, 3956, 54, 720, 494, 3957, 230, 911, 413]","[ 354 3956   54  720  494 3957  230  911  413    0    0    0    0    0
    0    0]"
yellowtail carpaccio melt mouth fresh,1,5,37,"[3958, 3959, 1217, 551, 191]","[3958 3959 1217  551  191    0    0    0    0    0    0    0    0    0
    0    0]"
try going back even empty,0,5,25,"[194, 67, 22, 19, 613]",[194  67  22  19 613   0   0   0   0   0   0   0   0   0   0   0]
no going eat potato found stranger hair it,0,8,42,"[1173, 67, 157, 398, 113, 1564, 1152, 7]","[1173   67  157  398  113 1564 1152    7    0    0    0    0    0    0
    0    0]"
spicy enough perfect actually,1,4,29,"[534, 61, 202, 205]",[534  61 202 205   0   0   0   0   0   0   0   0   0   0   0   0]
last night second time dining happy decided go back,1,9,51,"[122, 162, 341, 8, 448, 120, 1821, 21, 22]","[ 122  162  341    8  448  120 1821   21   22    0    0    0    0    0
    0    0]"
even hello right you,0,4,20,"[19, 3960, 64, 217]","[  19 3960   64  217    0    0    0    0    0    0    0    0    0    0
    0    0]"
dessert bit strange,0,3,19,"[445, 199, 1657]","[ 445  199 1657    0    0    0    0    0    0    0    0    0    0    0
    0    0]"
boyfriend came first time recent trip vega could pleased quality food service,1,12,77,"[766, 73, 42, 8, 848, 552, 126, 37, 337, 24, 9, 12]",[766  73  42   8 848 552 126  37 337  24   9  12   0   0   0   0]
really recommend place go wrong donut place,1,7,43,"[13, 40, 10, 21, 318, 3961, 10]","[  13   40   10   21  318 3961   10    0    0    0    0    0    0    0
    0    0]"
nice ambiance,1,2,13,"[32, 535]",[ 32 535   0   0   0   0   0   0   0   0   0   0   0   0   0   0]
would recommend saving room this,1,5,32,"[17, 40, 3962, 571, 111]","[  17   40 3962  571  111    0    0    0    0    0    0    0    0    0
    0    0]"
guess maybe went night disgraceful,0,5,34,"[358, 471, 145, 162, 3963]","[ 358  471  145  162 3963    0    0    0    0    0    0    0    0    0
    0    0]"
however recent experience particular location good,0,6,50,"[161, 848, 75, 573, 487, 1]",[161 848  75 573 487   1   0   0   0   0   0   0   0   0   0   0]
know like restaurant all something here,0,6,39,"[76, 11, 83, 100, 362, 96]",[ 76  11  83 100 362  96   0   0   0   0   0   0   0   0   0   0]
avoid establishment,0,2,19,"[225, 901]",[225 901   0   0   0   0   0   0   0   0   0   0   0   0   0   0]
think restaurant suffers trying hard enough,0,6,43,"[45, 83, 3964, 403, 213, 61]","[  45   83 3964  403  213   61    0    0    0    0    0    0    0    0
    0    0]"
tapa dish delicious,1,3,19,"[1884, 212, 127]","[1884  212  127    0    0    0    0    0    0    0    0    0    0    0
    0    0]"
heart place,1,2,11,"[434, 10]",[434  10   0   0   0   0   0   0   0   0   0   0   0   0   0   0]
salad bland vinegrette baby green heart palm,0,7,44,"[186, 250, 1885, 919, 624, 434, 704]","[ 186  250 1885  919  624  434  704    0    0    0    0    0    0    0
    0    0]"
two felt disgusting,0,3,19,"[59, 221, 812]",[ 59 221 812   0   0   0   0   0   0   0   0   0   0   0   0   0]
good time,1,2,9,"[1, 8]",[1 8 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
believe place great stop huge belly hankering sushi,1,8,51,"[300, 10, 3, 707, 343, 1215, 3965, 256]","[ 300   10    3  707  343 1215 3965  256    0    0    0    0    0    0
    0    0]"
generous portion great taste,1,4,28,"[1233, 528, 3, 226]","[1233  528    3  226    0    0    0    0    0    0    0    0    0    0
    0    0]"
never go back place never ever recommended place anyone,0,9,55,"[38, 21, 22, 10, 38, 20, 384, 10, 129]",[ 38  21  22  10  38  20 384  10 129   0   0   0   0   0   0   0]
server went back forth several time even much are helped,0,10,56,"[173, 145, 22, 1326, 267, 8, 19, 33, 1738, 1886]","[ 173  145   22 1326  267    8   19   33 1738 1886    0    0    0    0
    0    0]"
food delicious,1,2,14,"[9, 127]",[  9 127   0   0   0   0   0   0   0   0   0   0   0   0   0   0]
hour seriously,0,2,14,"[104, 278]",[104 278   0   0   0   0   0   0   0   0   0   0   0   0   0   0]
consider theft,0,2,14,"[737, 3966]","[ 737 3966    0    0    0    0    0    0    0    0    0    0    0    0
    0    0]"
eew location need complete overhaul,0,5,35,"[3967, 487, 192, 1084, 3968]","[3967  487  192 1084 3968    0    0    0    0    0    0    0    0    0
    0    0]"
recently witnessed poor quality management towards guest well,0,8,61,"[816, 3969, 101, 24, 525, 804, 1075, 16]","[ 816 3969  101   24  525  804 1075   16    0    0    0    0    0    0
    0    0]"
waited waited waited,0,3,20,"[354, 354, 354]",[354 354 354   0   0   0   0   0   0   0   0   0   0   0   0   0]
also came back check u regularly excellent service,1,8,50,"[23, 73, 22, 376, 102, 3970, 34, 12]","[  23   73   22  376  102 3970   34   12    0    0    0    0    0    0
    0    0]"
server super nice checked u many time,1,7,37,"[173, 276, 32, 897, 102, 117, 8]",[173 276  32 897 102 117   8   0   0   0   0   0   0   0   0   0]
pizza tasted old super chewy good way,0,7,37,"[187, 452, 247, 276, 1209, 1, 43]","[ 187  452  247  276 1209    1   43    0    0    0    0    0    0    0
    0    0]"
swung give try deeply disappointed,0,5,34,"[3971, 107, 194, 1420, 71]","[3971  107  194 1420   71    0    0    0    0    0    0    0    0    0
    0    0]"
service good company better,1,4,27,"[12, 1, 340, 36]",[ 12   1 340  36   0   0   0   0   0   0   0   0   0   0   0   0]
staff also friendly efficient,1,4,29,"[172, 23, 77, 3972]","[ 172   23   77 3972    0    0    0    0    0    0    0    0    0    0
    0    0]"
service fan quick served nice folk,1,6,34,"[12, 378, 438, 610, 32, 911]",[ 12 378 438 610  32 911   0   0   0   0   0   0   0   0   0   0]
boy sucker dry,0,3,14,"[867, 3973, 658]","[ 867 3973  658    0    0    0    0    0    0    0    0    0    0    0
    0    0]"
rated,0,1,5,[825],[825   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0]
look authentic thai food go else where,0,7,38,"[48, 523, 717, 9, 21, 484, 3974]","[  48  523  717    9   21  484 3974    0    0    0    0    0    0    0
    0    0]"
steak recommended,1,2,17,"[174, 384]",[174 384   0   0   0   0   0   0   0   0   0   0   0   0   0   0]
pulled car waited another minute acknowledged,0,6,45,"[1236, 153, 354, 136, 54, 1872]","[1236  153  354  136   54 1872    0    0    0    0    0    0    0    0
    0    0]"
great food great service clean friendly setting,1,7,47,"[3, 9, 3, 12, 401, 77, 480]",[  3   9   3  12 401  77 480   0   0   0   0   0   0   0   0   0]
all assure back,1,3,15,"[100, 1866, 22]","[ 100 1866   22    0    0    0    0    0    0    0    0    0    0    0
    0    0]"
hate thing much cheap quality black olive,0,7,41,"[477, 31, 33, 180, 24, 222, 3975]","[ 477   31   33  180   24  222 3975    0    0    0    0    0    0    0
    0    0]"
breakfast perpared great beautiful presentation giant slice toast lightly dusted powdered sugar,1,12,95,"[353, 3976, 3, 189, 1887, 3977, 3978, 1636, 1769, 3979, 3980, 3981]","[ 353 3976    3  189 1887 3977 3978 1636 1769 3979 3980 3981    0    0
    0    0]"
kid play area nasty,0,4,19,"[292, 295, 441, 1196]","[ 292  295  441 1196    0    0    0    0    0    0    0    0    0    0
    0    0]"
great place fo take eat in,1,6,26,"[3, 10, 3982, 124, 157, 605]","[   3   10 3982  124  157  605    0    0    0    0    0    0    0    0
    0    0]"
waitress friendly happy accomodate vegan veggie option,1,7,54,"[336, 77, 120, 3983, 3984, 3985, 597]","[ 336   77  120 3983 3984 3985  597    0    0    0    0    0    0    0
    0    0]"
omg felt like never eaten thai food dish,1,8,40,"[1856, 221, 11, 38, 718, 717, 9, 212]","[1856  221   11   38  718  717    9  212    0    0    0    0    0    0
    0    0]"
extremely crumby pretty tasteless,0,4,33,"[328, 3986, 46, 715]","[ 328 3986   46  715    0    0    0    0    0    0    0    0    0    0
    0    0]"
pale color instead nice char flavor,0,6,35,"[3987, 442, 553, 32, 1783, 233]","[3987  442  553   32 1783  233    0    0    0    0    0    0    0    0
    0    0]"
crouton also taste homemade extra plus,1,6,38,"[3988, 23, 226, 1880, 604, 417]","[3988   23  226 1880  604  417    0    0    0    0    0    0    0    0
    0    0]"
got home see driest damn wing ever,0,7,34,"[53, 388, 50, 1870, 679, 909, 20]","[  53  388   50 1870  679  909   20    0    0    0    0    0    0    0
    0    0]"
regular stop trip phoenix,1,4,25,"[1242, 707, 552, 908]","[1242  707  552  908    0    0    0    0    0    0    0    0    0    0
    0    0]"
really enjoyed crema cafe expanded even told friend best breakfast,1,10,66,"[13, 214, 3989, 904, 3990, 19, 570, 268, 18, 353]","[  13  214 3989  904 3990   19  570  268   18  353    0    0    0    0
    0    0]"
good money,0,2,10,"[1, 85]",[ 1 85  0  0  0  0  0  0  0  0  0  0  0  0  0  0]
miss wish one philadelphia,1,4,26,"[1508, 753, 6, 3991]","[1508  753    6 3991    0    0    0    0    0    0    0    0    0    0
    0    0]"
got sitting fairly fast but ended waiting minute place order another minute food arrived,0,14,88,"[53, 1162, 851, 253, 807, 664, 413, 54, 10, 170, 136, 54, 9, 514]","[  53 1162  851  253  807  664  413   54   10  170  136   54    9  514
    0    0]"
also best cheese crisp town,1,5,27,"[23, 18, 1218, 1183, 533]","[  23   18 1218 1183  533    0    0    0    0    0    0    0    0    0
    0    0]"
good value great food great service,1,6,35,"[1, 339, 3, 9, 3, 12]",[  1 339   3   9   3  12   0   0   0   0   0   0   0   0   0   0]
ask satisfying meal,1,3,19,"[410, 1888, 232]","[ 410 1888  232    0    0    0    0    0    0    0    0    0    0    0
    0    0]"
awesome,1,1,7,[139],[139   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0]
wanted leave,0,2,12,"[429, 576]",[429 576   0   0   0   0   0   0   0   0   0   0   0   0   0   0]
made drive way north scottsdale one bit disappointed,1,8,52,"[28, 491, 43, 3992, 3993, 6, 199, 71]","[  28  491   43 3992 3993    6  199   71    0    0    0    0    0    0
    0    0]"
eating again,0,2,12,"[447, 69]",[447  69   0   0   0   0   0   0   0   0   0   0   0   0   0   0]
the owner really really need quit soooooo cheap let wrap freaking sandwich two paper one,0,15,88,"[245, 389, 13, 13, 192, 1749, 3994, 180, 296, 1011, 3995, 350, 59, 754, 6]","[ 245  389   13   13  192 1749 3994  180  296 1011 3995  350   59  754
    6    0]"
checked place couple year ago impressed,0,6,39,"[897, 10, 338, 58, 381, 156]",[897  10 338  58 381 156   0   0   0   0   0   0   0   0   0   0]
chicken got definitely reheated ok wedge cold soggy,0,8,51,"[171, 53, 65, 3996, 711, 3997, 451, 1230]","[ 171   53   65 3996  711 3997  451 1230    0    0    0    0    0    0
    0    0]"
sorry getting food anytime soon,0,5,31,"[1107, 280, 9, 727, 307]","[1107  280    9  727  307    0    0    0    0    0    0    0    0    0
    0    0]"
absolute must visit,1,3,19,"[3998, 155, 900]","[3998  155  900    0    0    0    0    0    0    0    0    0    0    0
    0    0]"
cow tongue cheek taco amazing,1,5,29,"[1869, 3999, 4000, 607, 62]","[1869 3999 4000  607   62    0    0    0    0    0    0    0    0    0
    0    0]"
friend like bloody mary,0,4,23,"[268, 11, 4001, 1807]","[ 268   11 4001 1807    0    0    0    0    0    0    0    0    0    0
    0    0]"
despite hard rate business actually rare give star,0,8,50,"[546, 213, 662, 468, 205, 591, 107, 81]",[546 213 662 468 205 591 107  81   0   0   0   0   0   0   0   0]
really want make experience good one,1,6,36,"[13, 94, 29, 75, 1, 6]",[13 94 29 75  1  6  0  0  0  0  0  0  0  0  0  0]
chicken pho tasted bland,0,4,24,"[171, 606, 452, 250]",[171 606 452 250   0   0   0   0   0   0   0   0   0   0   0   0]
grilled chicken tender yellow saffron seasoning,1,6,47,"[1889, 171, 436, 4002, 4003, 4004]","[1889  171  436 4002 4003 4004    0    0    0    0    0    0    0    0
    0    0]"
drive thru mean want wait around half hour food somehow end going make u wait wait,0,16,82,"[491, 1673, 423, 94, 231, 166, 357, 104, 9, 1742, 154, 67, 29, 102, 231, 231]","[ 491 1673  423   94  231  166  357  104    9 1742  154   67   29  102
  231  231]"
pretty awesome place,1,3,20,"[46, 139, 10]",[ 46 139  10   0   0   0   0   0   0   0   0   0   0   0   0   0]
ambience perfect,1,2,16,"[1212, 202]","[1212  202    0    0    0    0    0    0    0    0    0    0    0    0
    0    0]"
best luck rude non customer service focused new management,0,9,58,"[18, 1737, 449, 630, 185, 12, 1890, 86, 525]","[  18 1737  449  630  185   12 1890   86  525    0    0    0    0    0
    0    0]"
grandmother make roasted chicken better one,0,6,43,"[4005, 29, 1804, 171, 36, 6]","[4005   29 1804  171   36    6    0    0    0    0    0    0    0    0
    0    0]"
asked multiple time wine list time ignored went hostess got one myself,0,12,70,"[712, 1186, 8, 716, 633, 8, 4006, 145, 4007, 53, 6, 1610]","[ 712 1186    8  716  633    8 4006  145 4007   53    6 1610    0    0
    0    0]"
staff always super friendly helpful especially cool bring two small boy baby,1,12,76,"[172, 125, 276, 77, 391, 216, 200, 470, 59, 182, 867, 919]",[172 125 276  77 391 216 200 470  59 182 867 919   0   0   0   0]
four star food guy blue shirt great vibe still letting u eat,1,12,60,"[1020, 81, 9, 490, 545, 4008, 3, 835, 56, 1022, 102, 157]","[1020   81    9  490  545 4008    3  835   56 1022  102  157    0    0
    0    0]"
